Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238LB, Y52Q39, Bude North and Stratton, On or near The Strand
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX347AR, Y52Q39, Georgeham and Mortehoe, On or near Sandy Lane
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX347HN, Y52Q39, Georgeham and Mortehoe, On or near Bradwell Road
Drugs: England, South West, Devon, North Devon, North Devon District, EX347BJ, Y52Q39, Georgeham and Mortehoe, On or near Arlington Place
Drugs: England, South West, Devon, North Devon, North Devon District, EX347BJ, Y52Q39, Georgeham and Mortehoe, On or near Arlington Place
Drugs: England, South West, Devon, North Devon, North Devon District, EX347BJ, Y52Q39, Georgeham and Mortehoe, On or near Arlington Place
Other theft: England, South West, Devon, North Devon, North Devon District, EX348NF, Y52Q39, Georgeham and Mortehoe, On or near Church Pool
Other theft: England, South West, Devon, North Devon, North Devon District, EX347BN, Y52Q39, Georgeham and Mortehoe, On or near The Grove
Vehicle crime: England, South West, Devon, North Devon, North Devon District, EX348NF, Y52Q39, Georgeham and Mortehoe, On or near Thorne Park
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX331QE, Y52Q39, Georgeham and Mortehoe, On or near Croyde Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX331LB, Y52Q39, Georgeham and Mortehoe, On or near Parking Area
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX331PE, Y52Q39, Georgeham and Mortehoe, On or near St Mary'S Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX331JZ, Y52Q39, Georgeham and Mortehoe, On or near Crowborough Road
Other theft: England, South West, Devon, North Devon, North Devon District, EX331FH, Y52Q39, Georgeham and Mortehoe, On or near St Helen'S Close
Other theft: England, South West, Devon, North Devon, North Devon District, EX331FH, Y52Q39, Georgeham and Mortehoe, On or near St Helen'S Close
Public order: England, South West, Devon, North Devon, North Devon District, EX331NZ, Y52Q39, Georgeham and Mortehoe, On or near Beach Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX331NZ, Y52Q39, Georgeham and Mortehoe, On or near Moor Lane
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX331JX, Y52Q39, Georgeham and Mortehoe, On or near Williamson Close
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX332BS, Y52Q39, Braunton East, On or near Wrafton Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX332EP, Y52Q39, Braunton East, On or near Church Street
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX332JY, Y52Q39, Braunton East, On or near Longfield Close
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX332AW, Y52Q39, Braunton East, On or near David Close
Burglary: England, South West, Devon, North Devon, North Devon District, EX331HL, Y52Q39, Braunton West, On or near Broadgate Close
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX332JR, Y52Q39, Braunton East, On or near Sports/Recreation Area
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX332JW, Y52Q39, Braunton East, On or near Brittons Close
Other theft: England, South West, Devon, North Devon, North Devon District, EX332BE, Y52Q39, Braunton East, On or near Pill Gardens
Other theft: England, South West, Devon, North Devon, North Devon District, EX332AY, Y52Q39, Braunton East, On or near Barton Lane Close
Other theft: England, South West, Devon, North Devon, North Devon District, EX332BL, Y52Q39, Braunton East, On or near Exeter Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX332AB, Y52Q39, Braunton West, On or near Supermarket
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX331LE, Y52Q39, Braunton West, On or near Shortacombe Drive
Other theft: England, South West, Devon, North Devon, North Devon District, EX331LQ, Y52Q39, Braunton West, On or near Parking Area
Vehicle crime: England, South West, Devon, North Devon, North Devon District, EX331EB, Y52Q39, Braunton West, On or near West Meadow Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX331LQ, Y52Q39, Braunton West, On or near Parking Area
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX331QG, Y52Q39, Braunton West, On or near Westmead Close
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX332BG, Y52Q39, Braunton East, On or near Velator Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX331FB, Y52Q39, Braunton West, On or near Caen View
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX331HQ, Y52Q39, Braunton West, On or near Butts Path
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX331HB, Y52Q39, Braunton West, On or near Cross Farm
Drugs: England, South West, Devon, North Devon, North Devon District, EX331EP, Y52Q39, Braunton West, On or near Station Close
Other theft: England, South West, Devon, North Devon, North Devon District, EX331HB, Y52Q39, Braunton West, On or near Cross Farm
Public order: England, South West, Devon, North Devon, North Devon District, EX331EG, Y52Q39, Braunton West, On or near Station Road
Vehicle crime: England, South West, Devon, North Devon, North Devon District, EX331AG, Y52Q39, Braunton West, On or near Caen Street
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX314RB, Y52Q39, Heanton Punchardon, On or near Dart Close
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX314RD, Y52Q39, Heanton Punchardon, On or near Exe Close
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX314RD, Y52Q39, Heanton Punchardon, On or near Hawkridge Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX332AZ, Y52Q39, Braunton East, On or near Petrol Station
Burglary: England, South West, Devon, North Devon, North Devon District, EX332AZ, Y52Q39, Braunton East, On or near Petrol Station
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX332DE, Y52Q39, Heanton Punchardon, On or near Dunns Close
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX314RD, Y52Q39, Heanton Punchardon, On or near Exe Close
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX314RD, Y52Q39, Heanton Punchardon, On or near Exe Close
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX332DN, Y52Q39, Heanton Punchardon, On or near Exeter Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX327NL, Y52Q39, Bratton Fleming, On or near Longland Close
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX327NZ, Y52Q39, Landkey, Swimbridge and Taw, On or near Hawks Way
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX329EU, Y52Q39, Newport, On or near Deer Park Road
Burglary: England, South West, Devon, North Devon, North Devon District, EX328PG, Y52Q39, Newport, On or near The Pollards
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX320JZ, Y52Q39, Landkey, Swimbridge and Taw, On or near The Orchards
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX320JZ, Y52Q39, Landkey, Swimbridge and Taw, On or near The Orchards
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX320JZ, Y52Q39, Landkey, Swimbridge and Taw, On or near The Orchards
Public order: England, South West, Devon, North Devon, North Devon District, EX329EU, Y52Q39, Newport, On or near Deer Park Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX329LB, Y52Q39, Landkey, Swimbridge and Taw, On or near Landkey Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX327NZ, Y52Q39, Landkey, Swimbridge and Taw, On or near Hawks Way
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX314HH, Y52Q39, Marwood, On or near Higher Hewish Lane
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX314LS, Y52Q39, Marwood, On or near Churchill Hill
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX314HH, Y52Q39, Marwood, On or near Higher Hewish Lane
Other theft: England, South West, Devon, North Devon, North Devon District, EX311QL, Y52Q39, Pilton, On or near Westaway Plain
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX311GA, Y52Q39, Pilton, On or near Pottington Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX311JW, Y52Q39, Pilton, On or near Mill Lane
Burglary: England, South West, Devon, North Devon, North Devon District, EX311LQ, Y52Q39, Pilton, On or near Braunton Road
Burglary: England, South West, Devon, North Devon, North Devon District, EX311GG, Y52Q39, Pilton, On or near Fair View
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX311JP, Y52Q39, Pilton, On or near Rolle Street
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX311GF, Y52Q39, Pilton, On or near Braunton Road
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX311JW, Y52Q39, Pilton, On or near Mill Lane
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX311GZ, Y52Q39, Pilton, On or near Mills Way
Drugs: England, South West, Devon, North Devon, North Devon District, EX314AT, Y52Q39, Marwood, On or near Upcott Avenue
Robbery: England, South West, Devon, North Devon, North Devon District, EX311LY, Y52Q39, Pilton, On or near Benning Court
Shoplifting: England, South West, Devon, North Devon, North Devon District, EX311QW, Y52Q39, Pilton, On or near Pilland Way
Vehicle crime: England, South West, Devon, North Devon, North Devon District, EX311JY, Y52Q39, Pilton, On or near Sports/Recreation Area
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX311QN, Y52Q39, Pilton, On or near Riverside Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX311JH, Y52Q39, Pilton, On or near Mill Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX314AF, Y52Q39, Pilton, On or near Meadow Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX311QZ, Y52Q39, Pilton, On or near Under Minnow Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX311QZ, Y52Q39, Pilton, On or near Under Minnow Road
Burglary: England, South West, Devon, North Devon, North Devon District, EX311PT, Y52Q39, Pilton, On or near Littabourne
Other theft: England, South West, Devon, North Devon, North Devon District, EX311QS, Y52Q39, Pilton, On or near Bull Hill
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX311PT, Y52Q39, Pilton, On or near Beech Grove
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX311QP, Y52Q39, Pilton, On or near Whites Lane
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX314HX, Y52Q39, Pilton, On or near Hospital
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX311ND, Y52Q39, Pilton, On or near Pilton Lawn
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX314HX, Y52Q39, Pilton, On or near Hospital
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX314HX, Y52Q39, Pilton, On or near Hospital
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX311PH, Y52Q39, Pilton, On or near Reform Street
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX314HX, Y52Q39, Pilton, On or near Hospital
