Vehicle crime: England, East Midlands, Nottinghamshire, Yorkshire and the Humber, Bassetlaw District, Bassetlaw, Brigg and Goole, North Lincolnshire, North Lincolnshire, DN9 2EP, Y51Q33, Everton, On or near Tindale Bank Road
Anti-social behaviour: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, East Yorkshire, YO151HF, Y51Q32, Bridlington Central and Old Town, On or near Clarke Crescent
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, HU2 8LB, Y51Q32, Myton, On or near Brook Street
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, HU1 3RL, Y51Q32, Myton, On or near Savile Street
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU1 2HX, Y51Q32, Myton, On or near Silver Street
Other crime: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, HU2 8PP, Y51Q32, Myton, On or near King Edward Street
Other crime: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU1 2NB, Y51Q32, Myton, On or near Vicar Lane
Anti-social behaviour: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU1 1SB, Y51Q32, Myton, On or near Chapel Lane Staith
Anti-social behaviour: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU2 8DY, Y51Q32, Myton, On or near New George Street
Anti-social behaviour: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU2 8DW, Y51Q32, Myton, On or near Sykes Street
Bicycle theft: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU1 3AA, Y51Q32, Myton, On or near Wilberforce Drive
Bicycle theft: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU2 8BG, Y51Q32, Myton, On or near Parking Area
Bicycle theft: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, HU1 3LY, Y51Q32, Myton, On or near Vernon Street
Bicycle theft: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU2 8BJ, Y51Q32, Myton, On or near Further/Higher Educational Building
Bicycle theft: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU2 8DE, Y51Q32, Myton, On or near Jarratt Street
Bicycle theft: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU2 8DE, Y51Q32, Myton, On or near Jarratt Street
Criminal damage and arson: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU2 0HN, Y51Q32, Myton, On or near Toogood Street
Criminal damage and arson: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU2 8BG, Y51Q32, Myton, On or near Parking Area
Criminal damage and arson: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU2 8DY, Y51Q32, Myton, On or near New George Street
Drugs: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU2 8BG, Y51Q32, Myton, On or near Parking Area
Other theft: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU2 8EF, Y51Q32, Myton, On or near Caroline Street
Other theft: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU1 1HN, Y51Q32, Myton, On or near Salthouse Lane
Public order: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU1 3HA, Y51Q32, Myton, On or near George Street
Public order: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU1 3AA, Y51Q32, Myton, On or near Wilberforce Drive
Public order: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU2 8EF, Y51Q32, Myton, On or near Caroline Street
Public order: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU1 3AA, Y51Q32, Myton, On or near Wilberforce Drive
Robbery: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU1 1SB, Y51Q32, Myton, On or near Chapel Lane Staith
Shoplifting: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, HU1 3LY, Y51Q32, Myton, On or near Vernon Street
Vehicle crime: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU1 1HB, Y51Q32, Myton, On or near Blaides Staithe
Vehicle crime: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU2 8BG, Y51Q32, Myton, On or near Parking Area
Vehicle crime: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU2 0HJ, Y51Q32, Myton, On or near Aldbro' Street
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU2 8BT, Y51Q32, Myton, On or near Parking Area
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU1 3AA, Y51Q32, Myton, On or near Wilberforce Drive
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU2 8EF, Y51Q32, Myton, On or near Caroline Street
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU2 8BG, Y51Q32, Myton, On or near Parking Area
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU2 8AE, Y51Q32, Myton, On or near George Street
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU2 8BG, Y51Q32, Myton, On or near Parking Area
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU1 3AA, Y51Q32, Myton, On or near Wilberforce Drive
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU1 3AA, Y51Q32, Myton, On or near Wilberforce Drive
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU2 8BG, Y51Q32, Myton, On or near Parking Area
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU2 8BG, Y51Q32, Myton, On or near Parking Area
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU2 8BG, Y51Q32, Myton, On or near Parking Area
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU1 3EN, Y51Q32, Myton, On or near New Garden Street
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull East, HU2 8BG, Y51Q32, Myton, On or near Parking Area
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, HU1 3LY, Y51Q32, Myton, On or near Vernon Street
Anti-social behaviour: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6HU, Y51Q32, Newington, On or near Sports/Recreation Area
Anti-social behaviour: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6AX, Y51Q32, Newington, On or near Walliker Street
Anti-social behaviour: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6NS, Y51Q32, Newington, On or near Carnegie Street
Anti-social behaviour: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6EJ, Y51Q32, Newington, On or near Wells Street
Anti-social behaviour: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6BY, Y51Q32, Newington, On or near Zetland Street
Anti-social behaviour: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6BY, Y51Q32, Newington, On or near Zetland Street
Anti-social behaviour: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6BY, Y51Q32, Newington, On or near Zetland Street
Anti-social behaviour: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, HU3 6HN, Y51Q32, Newington, On or near Bentley Court
Anti-social behaviour: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6ET, Y51Q32, Newington, On or near Plane Street
Anti-social behaviour: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, HU3 6HN, Y51Q32, Newington, On or near Bentley Court
Bicycle theft: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6HU, Y51Q32, Newington, On or near Sports/Recreation Area
Bicycle theft: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6HU, Y51Q32, Newington, On or near Sports/Recreation Area
Bicycle theft: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6HU, Y51Q32, Newington, On or near Sports/Recreation Area
Bicycle theft: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6JA, Y51Q32, Newington, On or near Anlaby Road
Burglary: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6BY, Y51Q32, Newington, On or near Zetland Street
Burglary: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6AX, Y51Q32, Newington, On or near Walliker Street
Criminal damage and arson: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6BY, Y51Q32, Newington, On or near Zetland Street
Criminal damage and arson: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6AP, Y51Q32, Newington, On or near Ruskin Street
Drugs: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, HU3 6HN, Y51Q32, Newington, On or near Bentley Court
Other theft: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6BY, Y51Q32, Newington, On or near Zetland Street
Other theft: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6JA, Y51Q32, Newington, On or near Anlaby Road
Public order: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6NS, Y51Q32, Newington, On or near Carnegie Street
Public order: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6BY, Y51Q32, Newington, On or near Zetland Street
Shoplifting: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6DT, Y51Q32, Newington, On or near Granville Street
Theft from the person: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6NS, Y51Q32, Newington, On or near Carnegie Street
Theft from the person: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6BY, Y51Q32, Newington, On or near Zetland Street
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6BY, Y51Q32, Newington, On or near Zetland Street
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, HU3 6HN, Y51Q32, Newington, On or near Bentley Court
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6JA, Y51Q32, Newington, On or near Anlaby Road
Violence and sexual offences: England, Yorkshire and the Humber, Kingston upon Hull West and Hessle, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU3 6JA, Y51Q32, Newington, On or near Anlaby Road
