Theft from the person: England, Yorkshire and the Humber, West Yorkshire, Bradford District, Shipley, BD163LS, Y51Q32, Bingley, On or near The Gardens
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319HE, W00Q99, Marl, On or near St David'S Avenue
Possession of weapons: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319PF, W00Q99, Marl, On or near Glyn Isaf
Public order: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319LG, W00Q99, Marl, On or near Gilfach Nant-Y-Glyn
Shoplifting: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319NU, W00Q99, Marl, On or near Supermarket
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319HS, W00Q99, Marl, On or near Marl Avenue
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298AT, W00Q99, Eirias, On or near Maes Elian
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299SL, W00Q99, Eirias, On or near Min-Y-Don Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298BG, W00Q99, Eirias, On or near Marine Avenue
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299SU, W00Q99, Eirias, On or near Beach Avenue
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299TA, W00Q99, Eirias, On or near Min-Y-Don Avenue
Public order: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299PF, W00Q99, Eirias, On or near Parking Area
Public order: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299PF, W00Q99, Eirias, On or near Parking Area
Vehicle crime: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299SU, W00Q99, Eirias, On or near Beach Avenue
Vehicle crime: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299SU, W00Q99, Eirias, On or near Beach Avenue
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298BB, W00Q99, Eirias, On or near Rayleigh Avenue
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297UA, W00Q99, Glyn, On or near Beech Mount
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297TH, W00Q99, Glyn, On or near Douglas Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297TW, W00Q99, Glyn, On or near Agnes Grove
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297TW, W00Q99, Glyn, On or near Agnes Grove
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297RW, W00Q99, Glyn, On or near Park Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297TW, W00Q99, Glyn, On or near Agnes Grove
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297TY, W00Q99, Glyn, On or near Grove Park
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297HA, W00Q99, Rhiw, On or near Seafield Road
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297HA, W00Q99, Rhiw, On or near Seafield Road
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297TS, W00Q99, Glyn, On or near Grange Road
Drugs: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297TS, W00Q99, Glyn, On or near Old Highway
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297PE, W00Q99, Glyn, On or near Rhiw Bank Avenue
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297ES, W00Q99, Rhiw, On or near Woodhill Road
Vehicle crime: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297RW, W00Q99, Glyn, On or near Park Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297TL, W00Q99, Glyn, On or near Police Station
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297PE, W00Q99, Glyn, On or near Rhiw Bank Avenue
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297UA, W00Q99, Glyn, On or near Beech Mount
Other crime: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297UL, W00Q99, Glyn, On or near Highfield Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298DL, W00Q99, Glyn, On or near Back Bay View Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297SP, W00Q99, Glyn, On or near Sports/Recreation Area
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297SA, W00Q99, Glyn, On or near Ffordd Gefin Belgrave
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297SA, W00Q99, Glyn, On or near Ffordd Gefin Belgrave
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298DH, W00Q99, Glyn, On or near Bay View Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297RS, W00Q99, Glyn, On or near Sea View Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298PR, W00Q99, Rhiw, On or near Ivy Street
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297SA, W00Q99, Glyn, On or near Ffordd Gefin Belgrave
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298DW, W00Q99, Glyn, On or near Greenfield Road
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297SP, W00Q99, Glyn, On or near Sports/Recreation Area
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298DY, W00Q99, Glyn, On or near Pendorlan Avenue
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298EW, W00Q99, Glyn, On or near Greenfield Road
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297PW, W00Q99, Glyn, On or near Meirion Gardens
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297SA, W00Q99, Glyn, On or near Ffordd Gefin Belgrave
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297PW, W00Q99, Glyn, On or near Meirion Gardens
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298PR, W00Q99, Rhiw, On or near Ivy Street
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298PR, W00Q99, Rhiw, On or near Ivy Street
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298DY, W00Q99, Glyn, On or near Pendorlan Avenue
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298DG, W00Q99, Glyn, On or near Shopping Area
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297RS, W00Q99, Glyn, On or near Sea View Road
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298AR, W00Q99, Glyn, On or near Park/Open Space
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297NN, W00Q99, Rhiw, On or near Bay View Road
Possession of weapons: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297SA, W00Q99, Glyn, On or near Ffordd Gefin Belgrave
Public order: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297SG, W00Q99, Glyn, On or near The Dingle
Public order: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297SA, W00Q99, Glyn, On or near Ffordd Gefin Belgrave
Public order: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298DH, W00Q99, Glyn, On or near Bay View Road
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297SA, W00Q99, Glyn, On or near Ffordd Gefin Belgrave
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298PR, W00Q99, Rhiw, On or near Ivy Street
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298DG, W00Q99, Glyn, On or near Shopping Area
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298PR, W00Q99, Rhiw, On or near Ivy Street
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298DW, W00Q99, Glyn, On or near Greenfield Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298EW, W00Q99, Glyn, On or near Greenfield Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297PW, W00Q99, Glyn, On or near Meirion Gardens
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298EL, W00Q99, Glyn, On or near Grove Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297PW, W00Q99, Glyn, On or near Meirion Gardens
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298EA, W00Q99, Glyn, On or near Canning Road
Other crime: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297PH, W00Q99, Glyn, On or near Erw Wen Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298NB, W00Q99, Rhiw, On or near Penrhyn Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297AU, W00Q99, Rhiw, On or near Llewelyn Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298NB, W00Q99, Rhiw, On or near Penrhyn Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297LR, W00Q99, Rhiw, On or near Supermarket
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298HT, W00Q99, Rhiw, On or near Parking Area
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298NB, W00Q99, Rhiw, On or near Hawarden Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298NB, W00Q99, Rhiw, On or near Hawarden Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298PB, W00Q99, Rhiw, On or near Wynnstay Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298LW, W00Q99, Rhiw, On or near Theme/Adventure Park
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298PW, W00Q99, Rhiw, On or near Kingsway
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298PB, W00Q99, Rhiw, On or near Wynnstay Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298NB, W00Q99, Rhiw, On or near Penrhyn Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298NB, W00Q99, Rhiw, On or near Penrhyn Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297LR, W00Q99, Rhiw, On or near Supermarket
Bicycle theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284DB, W00Q99, Rhiw, On or near Sea Bank Road
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284DB, W00Q99, Rhiw, On or near Sea Bank Road
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298NB, W00Q99, Rhiw, On or near Penrhyn Road
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298LA, W00Q99, Rhiw, On or near Parking Area
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298PF, W00Q99, Rhiw, On or near Petrol Station
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297AS, W00Q99, Rhiw, On or near Woodland Road West
Public order: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298NB, W00Q99, Rhiw, On or near Penrhyn Road
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298LA, W00Q99, Rhiw, On or near Parking Area
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298LA, W00Q99, Rhiw, On or near Parking Area
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284DB, W00Q99, Rhiw, On or near Sea Bank Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297HR, W00Q99, Rhiw, On or near Mostyn Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298PL, W00Q99, Rhiw, On or near Marine Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284DB, W00Q99, Rhiw, On or near Penrhos Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298NB, W00Q99, Rhiw, On or near Hawarden Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298LW, W00Q99, Rhiw, On or near Theme/Adventure Park
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298LW, W00Q99, Rhiw, On or near Theme/Adventure Park
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299YG, W00Q99, Eirias, On or near Church Walks
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298LT, W00Q99, Glyn, On or near Ffordd-Y-Fedwen
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299UF, W00Q99, Eirias, On or near Llanelian Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299YG, W00Q99, Eirias, On or near Church Walks
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298US, W00Q99, Eirias, On or near Springdale
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298PA, W00Q99, Eirias, On or near Dol Elian
Public order: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299UF, W00Q99, Eirias, On or near Llanelian Road
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299YH, W00Q99, Eirias, On or near Petrol Station
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299YH, W00Q99, Eirias, On or near Petrol Station
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299YH, W00Q99, Eirias, On or near Petrol Station
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299YH, W00Q99, Eirias, On or near Petrol Station
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298ZA, W00Q99, Eirias, On or near Ddol Ddu
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299UD, W00Q99, Eirias, On or near David Edwards Close
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298RW, W00Q99, Glyn, On or near Trem Nant Eirias
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297TT, W00Q99, Glyn, On or near Upland Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298RF, W00Q99, Glyn, On or near Groes Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297TT, W00Q99, Glyn, On or near Upland Road
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298QA, W00Q99, Glyn, On or near Ffordd Dawel
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297PS, W00Q99, Glyn, On or near Abergele Road
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298RD, W00Q99, Glyn, On or near Heol Dirion
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298RD, W00Q99, Glyn, On or near Severn Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL296DA, W00Q99, Rhiw, On or near St Andrews Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL296DD, W00Q99, Rhiw, On or near Wentworth Avenue
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL296DD, W00Q99, Rhiw, On or near Wentworth Avenue
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL296DA, W00Q99, Rhiw, On or near Bryn Eryr
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297NG, W00Q99, Rhiw, On or near Gregory Crescent
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297BJ, W00Q99, Rhiw, On or near Riviere'S Avenue
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297ND, W00Q99, Rhiw, On or near Victoria Park
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297BH, W00Q99, Rhiw, On or near Cwrt Y Dderwen
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297NG, W00Q99, Rhiw, On or near Gregory Crescent
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297BH, W00Q99, Rhiw, On or near Queen'S Park
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297BJ, W00Q99, Rhiw, On or near Riviere'S Avenue
Vehicle crime: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL297BH, W00Q99, Rhiw, On or near Cwrt Y Dderwen
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299LP, W00Q99, Colwyn, On or near Cadwgan Avenue
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299NU, W00Q99, Colwyn, On or near Peulwys Avenue
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299LP, W00Q99, Colwyn, On or near Cadwgan Avenue
Bicycle theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299UR, W00Q99, Colwyn, On or near Wellington Road
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299NP, W00Q99, Colwyn, On or near Gwynant
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298YH, W00Q99, Eirias, On or near Bryn Coed Coch
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299NL, W00Q99, Colwyn, On or near Hayden Close
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299LP, W00Q99, Colwyn, On or near Cadwgan Avenue
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299NA, W00Q99, Colwyn, On or near Supermarket
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299NA, W00Q99, Colwyn, On or near Supermarket
Vehicle crime: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299NR, W00Q99, Colwyn, On or near Peulwys Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299AD, W00Q99, Colwyn, On or near Ffordd Tirionfa
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299AD, W00Q99, Colwyn, On or near Ffordd Tirionfa
Bicycle theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299BN, W00Q99, Colwyn, On or near Miners Lane
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299AE, W00Q99, Colwyn, On or near Bryn Heli
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299HR, W00Q99, Colwyn, On or near Ffordd Elias
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299PL, W00Q99, Colwyn, On or near Cefn Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299PL, W00Q99, Colwyn, On or near Cefn Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299DG, W00Q99, Colwyn, On or near Norcliffe Avenue
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299PL, W00Q99, Colwyn, On or near Cefn Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299PW, W00Q99, Colwyn, On or near Plas Wylfa
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299SG, W00Q99, Eirias, On or near Cliff Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299SG, W00Q99, Eirias, On or near Cliff Road
Public order: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299PL, W00Q99, Colwyn, On or near Cefn Road
Public order: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299PN, W00Q99, Colwyn, On or near Princess Road
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299PL, W00Q99, Colwyn, On or near Cefn Road
Theft from the person: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299PL, W00Q99, Colwyn, On or near Cefn Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228JB, W00Q99, Llanddulas, On or near Y Gelli
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228JG, W00Q99, Llanddulas, On or near Bryn Celyn
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228JG, W00Q99, Llanddulas, On or near Lon Pendyffryn
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228JB, W00Q99, Llanddulas, On or near Y Gelli
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228JG, W00Q99, Llanddulas, On or near Bryn Celyn
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228HH, W00Q99, Llanddulas, On or near Station Road
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228LQ, W00Q99, Llanddulas, On or near Ffordd-Y-Graig
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228HD, W00Q99, Llanddulas, On or near Maes Cynbryd
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228HT, W00Q99, Llanddulas, On or near Sports/Recreation Area
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL228JG, W00Q99, Llanddulas, On or near Bryn Celyn
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299PT, W00Q99, Llysfaen, On or near Cae Glas
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298UB, W00Q99, Llysfaen, On or near Tan-Y-Graig Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299PT, W00Q99, Llysfaen, On or near Cae Glas
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299PT, W00Q99, Llysfaen, On or near Cae Glas
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL299PT, W00Q99, Llysfaen, On or near Cae Glas
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL298SP, W00Q99, Llysfaen, On or near Bron-Y-Llan Road
